ID,beer_ABV,beer_name,beer_style,review_appearance,review_palette,review_taste,review_aroma,text,label
10,17.5,Samuel Adams Triple Bock,American Strong Ale,1,1,1.5,1.5,"I thought that I might be in for a Pleasant surprise with this beer. I thought it couldn't be as bad as people said it was, boy was I wrong. Got this from jtingue and split it with Dannenberg. Pours completely still and soy sauce hits me in the face. I have never experienced this in a beer, I didn't think it was possible for beer to smell like this, but it does. Soy sauce and sickly sweet toffee and maybe, but in the worst way possible. I was really thinking of just stopping there, but for the same reason that I watched the entirety of ""the room"" I forge on. It was difficult to actually take a sip of this but when I did i was rewarded with more soy and sweet and a mild sour of beer gone bad over a decade and a half. Medicinal and soysauce. What the fuck was I thinking. Mouthfeel was sticky so it stays with you. I will say though that the aftertaste wasn't horrible. Coffe caramel kind if sweet, but still not that great. And it won't leave. This is truly foul and lives up to it's billing as the worst thing I have ever drank on purpose.",0
11,10,Le Coq Imperial Extra Double Stout,Russian Imperial Stout,2,1,1.5,1,"'Vintage' bottle from 2003. Aged by B. United, not me. Yay autolysis and oxidation!! After making a mess of the counter and myself trying to get the cork out, I poured a bit of this oily-looking stuff into a snifter. Completely opaque and really, about the consistency of 10w 50. About the same head, too. It doesn't look incredibly appetizing, but it's pretty hard to pass judgment on a beer for its appearance. Where this stuff can be faulted is, well, everywhere else. It smells god-awful. Not just awful, which apparently awards it a '1.0' here on BA, but god-awful. Where's the .5? 0? In any case, the wave of soy sauce is the first thing that hits the poor little smell-receptors. They're in for a beating. This stuff really reeks. It's beyond oxidized. There should be new terminology for this. The odor is so off-putting I could barely keep my nose in the glass long enough to smell the comparatively dainty roasted malt. As I guessed, letting this stuff loose on my tongue was none-too-pleasant. Revolting is fitting. What a ridiculous, oxidized mess. There's still a stout there somewhere, but it's awfully hard to find. Kikkoman beware, this stuff might beat you out in a blind tasting over vegetable fried rice. Maybe they could make it into a spread and sell it to those people that somehow enjoy choking down vegemite. I haven't reviewed anything in ages--it seems like a pointless exercise, normally--but I had to express just how incredibly bad this stuff is. If I had actually bought this bottle, I would rage. This is why beer should not be put down in a cellar. Even by professionals. I've had a lot of beer, but this *might* be the worst ever.",0
12,7,XS McRogue Scotch Ale,Scotch Ale / Wee Heavy,4,4,4,4,"On tap at the Alibi Room in Vancouver. A: 1/4"" white head over copper liquid with good clarity. S: Some citrus hops and some yeast. T: Citrus and pine hops up front which transitions to an finish with a relatively heavy presence of alcohol. M: Medium viscosity and a medium level of fine carbonation. Some drying from the alcohol. O: A drinkable Scotch Ale whose taste is affected by the presence of alcohol.",2
13,7.5,Hitachino Nest Espresso Stout,American Double / Imperial Stout,4,4,1,2,"beerbarons.wordpress.com Label: Japanese Dark Ale brewed with Coffee Beans Kounosu Naka-Shi Ibark, Japan Kiuchi Brewery www.kodawari.cc ABV: 7.5% Appearance: Head: Dark khaki, fluffy, long lasting Body: Roasted, hoppy, coffee, chocolate Taste: Burnt, roasted, strong coffee flavor, light body for a stout, hoppy bitter bite, coffee aftertaste, hints of chocolate, hint of cream. Stu's Review: I really wanted to enjoy this beer. I mean the only Japanese Beer I've had is Sapporo so I wanted to see how the micro brewing differs in our brothers to the west (in The US its to the west). This beer was missing something vital. It's consistency and taste was akin to that last cup of coffee in the morning batch...you know the kind, its kinda cold, and a little thicker than it should be. It's got a bitter bite, but the light body is where I think this beer went wrong. When I have a stout I want body, I want a creamy meal in a glass, not some puny coffee black water...I am not sure whats going on either because if you look at beeradvocate they rank this beer an A-...well now you know why we don't rank. Before I go on a rant about rankings let me finish this review. The flavor/light body combo doesn't work. Its got a hint of cream...hint...not enough to change my mind. Try one, maybe I'm crazy (as people will tell you I am), see what you think. I find that stouts are very hit or miss with me. In comparison to its competitor, Lagunitas Cappuccino Stout, it falls flat on its crazy japanese label. Where I got it 2001 18th St NW Washington, DC 20009 (202) 986-5002 Get directions $5.00---&gt; not worth the price.",0
14,7.5,Payback Porter,American Porter,4,4.5,3.5,4,"Thanks to dgb3 for this extra. Poured into my custom etched dead man's hand pint glass. Very dark in color. I would say dark brown and not black. A bit of light gets through at the edges. Huge cocoa colored head that started out at about three fingers. Very frothy and sticky. Lace is sticky as well, for now. The smell is fantastic Deep rich, roasted malts that come as chocolate covered coffee beans. A bit of tart. Almost the nose of a well crafted stout, but not quite. The taste is about like the smell. Dark roasted flavors, coffee beans, just a hint of chocolate and defiantly tart taste. A lot more Porter here that the smell gave off. Kind of like a light Stout (okay that is kinda what a Porter is). The mouth is a bit dry and hollow but I can't complain for it being a Porter and not as the nose led me, a Stout. It is why the style, in my opinion is a stepping stone to the Stouts that so many of us love. Over all I enjoyed this extra from dgb3. The appearance and smell was the best part of this but I can't complain about any of this one. Recommended!!",2
15,10,AleSmith Grand Cru Ale,Belgian Strong Dark Ale,4,4.5,4.5,4.5,"Strawberry caramel with bright orange edges. The cap is pale orangish ecru in color and is airily expansive thanks to a near Belgianesque amount of carbonation. It's too bad that it doesn't share the firm, sticky texture of the best Belgian heads though. The foam is much too soft to last or to result in much glass coverage. The beer itself looks great though. On a good note, the nose is classic BSDA. On a not so good note, it could be both more powerful and more complex. It's wonderfully mushy apple fruity with a warm spiciness that is more appealing the more I smell it. I detect cinnamon, nutmeg and clove, spices that remind me of autumn for some reason. Warming improves things to a considerable extent and makes a bump in score an easy call. I needn't have worried. This brewery rarely disappoints and they definitely haven't done so here. One sweet, spicy, explosive sip is all it takes to tell me that Grand Cru is yet another fantastic AleSmith ale. For some reason, it looks as though the brewery decided to stop putting the vintage on the bottle. My best guess is that I'm drinking the 2005 edition. This truly is a world-class BSDA that can easily hold its head high in the company of the best that Belgium has to offer. Grand Cru isn't all that dark in terms of roasted malt (see Stone Vertical Epic 05.05.05), but is more darkly fruit along the lines of heavily spiced dates and figs. Delicious, delicious, delicious. I'm a little surprised at how sweet it is. That isn't a complaint though, I love sweet as long as it's in the context of an outstanding, multi-faceted flavor profile, as it is here. It looks like a perfect amount of dark candi sugar is Grand Cru's secret weapon. That and a wonderfully spicy Trappist yeast strain that provides authenticity and complexity galore. I'm feeling the double-digit ABV much more than I'm tasting it. Well-integrated alcohol is a valued part of the flavor, as it is in almost all big beer. The fact that it whispers rathers than shouts is a very dangerous thing indeed. The body/mouthfeel is the best of both worlds. It's full, borderline syrupy and sticky, yet is as energetically carbonated as all but the most hyperactive Belgians. Grand Cru is truly wonderful beer. It pays homage to its Continental counterparts while at the same time delivering a distinctly American, big beer twist. It isn't often that I spend $13 on one bottle, but it's hard to argue with the quality that this brewery puts into each and every one of their 750s. I love AleSmith beer!",2
16,6.8,Just Outstanding IPA,American IPA,4,4.5,3.5,4,"Ken's bottle from Portland, thanks for sharing! Outstanding hoppy aromas, getting Cascade. Cloudy grapefruit colour with outstanding 2 inch head that lasts and leads to lots of lace. Average mouthfeel. Outstanding balance and drinkability. Orange and grapefuit with a little tangerine.",2
17,6.2,Hoss,MÃ¤rzen / Oktoberfest,4,3.5,3.5,4,"Appearance: A crystal-clear copper-colored body capped by two fingers of creamy off-white head that feature good retention and lacing. Aroma: A brown sugar-like, toasty, and earthy malt body with and a splash of rye. Nothing as far as hops are concerned, but I'm not really missing them. Flavor: Again, the focus here the malt; it's biscuity, bready, a little spicy, earthy, and has that tasty little dash of rye. Spicy hops show up towards the finish, but this is very much a malt-forward beer. Lots of sweet, earthy malt in the aftertaste. Mouthfeel: Medium bodied with moderate carbonation and a drying finish. Drinkability: This is an easy drinker for anyone not afraid of a little malt. Verdict: Hoss is a great little beer. Easy drinking and full of character, I could easily mistake this for an authentic German brew. Good to see a tasty Mrzen that's available outside of fall.",2
18,6.8,Sierra Nevada Celebration Ale,American IPA,3,3,1.5,2,"Although not even exceptionally hoppy I think this beers is still too bitter, too dry. Especially in the finish it developes a harsh bitterness, almost medicinal. Leaving a very dry mouthfeel like you've been sucking on a piece of rusty metal. I shared the bottle with a friend and I'm glad I did because I probably couldn't have finished it on my own. Smells ok though, fruity and flowers, like most American IPA's.",0
19,8.8,Lion Imperial Premium Malt Pilsner,Euro Strong Lager,2.5,1,1,1,"Yuck! Picked this up by mistake, as I meant to grab their fairly decent stout. This is not in the same ballpark. Pours golden with a thick head that very quickly fades to nearly nothing. Smells like rubbing alcohol with some very late graininess. Nothing like a nice whiff of solvent to wake your appetite up for the beer that follows. Tastes similar, which is -bad. Makes my eyes water from what seems to be a shot of cheap vodka more than it is a beer. Not even any hint of the grain this time (not that really helped the aroma). Mouthfeel is harsh and chemical feeling, and to me this whole beer is undrinkable. Drain pour.",0
20,6.2,Lips Of Faith - Biere De Mars,BiÃ¨re de Garde,3.5,3.5,4,3.5,"Fat tire fermented with lemon. Well, that's a first impression to my untamed taste buds. Upon further reflection there is more going on here. And even without that reflection, fat tire fermented with lemons really isn't so bad. A session brew that you would grow tired of after a couple months, convienently enough it is only available for such. Pours a nice copper color, off white head. Biscuity aromas, lemony slightly puckering taste.",2
21,5.5,Brewer Patriot Collection - 1790 Root Beer Brew,Herbed / Spiced Beer,3,4,3,2.5,"Pours a hazed rust hued body, topped by a small, offwhite head that quickly falls away. Aroma is pungent with herbs, mostly sassafras. I really enjoy the aroma of this. Quite fragrant! Anise, clove, and wintergreen compliment the sassafras. Mouthfeel is ight bodied, with medium carbonation. Taste echoes the nose, with sassafras, wintergreen, and clove, joined by a honey and molasses sweetness that quickly grows cloying. A very interesting brew, but not one I can handle. Simply too sweet, and the herbal essence is too overbearing.",0
22,6.5,Aphrodisiaque,American Stout,4,4.5,4,4.5,"This beer was a total surprise for me as I was not expecting much. I poured it into a snifter and it poured an opaque brown with little head. The smell was of roasted malts, chocolate, coffee, and just a hint of vanilla. The taste was very simillar to the smell. Even though I was expecting a little heavier mouthfeel, it was still fine and very drinkable. Overall I was very pleased with this beer and will be looking to purchase more of it!",2
23,6,Chatoe Rogue First Growth Creek Ale,Dubbel,3,4,2,2,I really wanted to like this beer. The beer was served chilled in wide mouth goblet. Appearance: The body of the beer is a murky mahogany coloration. The head is a thin white coloration that rapidly resolves. Smell: I had high hopes based on the aroma. Sweet tart and sour cherries great my nose. A pleasant musty clove aroma lurks in the background. Taste: Taste is a major let down. Musty tart cherries and little else. In short this beer is bland! No off flavors just nothing really going on. Mouthfeel / Drinkability: The body of the beer is light. Light carbonation really seems to make the beer go a bit more limp. Drinking the beer was a chore and after about 3/4 of a glass I became too bored to finish.,0
24,5.35,LongShot Grape Pale Ale,Fruit / Vegetable Beer,4,4,3,3.5,"First, Thanks to Swigger for this great Sam Adams Longshot beer. Look: Poured a honey brown color with a half-finger white head that quickly recedes into a fine lace and oilslick of bubbles on the surface. Up to the light it has a mellow gold lining to it. Nose: Very mild grape scent and some malt. Mouthfeel: I will agree with some of the other reviewers that it seems a little overcarbonated. Drinkability: Pretty good, Pale Ales and IPAs have never really been my thing, but I'm finally coming around to them. I could have a few of these without a problem. Good summer beer. Overall this is one of the most pleasant fruit based beers I've had. It's subtle and doesn't scream of the fruit that it was brewed with. Nicely done, and well worth the Longshot namesake.",2
25,8.7,Unplugged Imperial Saison,Saison / Farmhouse Ale,4.5,5,4,4,"Appearance - Light orangish-amber. Quite cloudy. Thick white head that's very persistent. Smell - Fruit is the primary aroma - orange, vague citrus. Also some floral hops, a little vague spiciness. Fresh smelling. Taste - Fruit is present almost immediately. Sour orange or even lemon is the principal flavor. Malt, alcohol, and a little peppery spice present, but overshadowed by the fruit. Finishes quite dry. Not a huge fan of the style, but this appears to be a very good example. Mouthfeel - Light to moderate. Drinkability - Nice beer to sample in the summer. It has a freshness for the heat, but also a complexity for the drinker. Not a style I seek out, but well worth the try.",2
26,6,Samuel Adams Latitude 48 IPA,American IPA,4.5,4,4.5,4,"Pours a nice amber color with a fluffy white head into my glass. Looks really good for the style. Aroma is grassy, floral and even has a bit of citrus to boot. No doubt about it,t he hops are the stars here. Taste is full of rich, buttery malt followed by a good hint of grassy hops with just a touch of mint and citrus. Really lights up the mouth with flavor. Mouthfeel is full of lingering hop bitterness but it's not strong at the back. Finishes almost clean except for a slight hint of carbonation. Coats the throat on the way down. Impressive and highly drinkable. I remember when people used to wish that Sam Adams would make IPAs and now that they have, it's quite solid. Wish it was in 6 packs though but well worth the purchase of a 12 pack to get 5 other great styles.",2
27,6.5,Founders Porter,American Porter,3.5,4,4.5,4.5,"I'm not the biggest porter fan but this one is very good! It poured a dark magenta/brownish. The smell was almost all like a sweet coffee, and brown sugar? The taste was fabulous! I loved the coffee I got out of it finished by a sweet brown sugar, way back on the tongue. I could drink a bunch of thesewithout getting bored of them I'd try this if you could get your hand son it!",2
28,7.2,Sinebrychoff Porter,Baltic Porter,5,4.5,4,4.5,"33 cL bottle with no freshness date, despite the fact that the label says ""best before"" in three languages. It pours as black as a dank imperial stout and has a finger of orangey/brown head. Almost dares you to drink it. Smells of chocolate, coffee, cocoa, roasty malts, currants, blackberries, and otherwise sweet malts. It has a big roasty/burnt flavor with dark berries and lots of IBUs from the green hops and the roasty/coffee malts. In addition, theres sweet and smoky malts, charcoal, tobacco juice, some acidity, old leather, and maybe some piney spice. The body is medium and a bit drying, a little numbing, and leaves a looong roasty/coffee finish. Overall quite nice - would go great with barbecue. However, it's probably better with age as the IBUs are still a bit too prevalent.",2
29,10.9,Barleywine Style Ale,American Barleywine,4,3.5,4,4,"A 650 mL capped bottle purchased somewhere (Well's or Capone's or State Line). A: The barleywine is a thick, amber-red color, so dark that it appears a chocolatey brown. The head has consistently poured near 2 fingers and leaves a nice trail in the glass. S: The nose is full of concentrated malts and a great deal of hops. The malt body is very strong, to the point that it takes on a unique sweetness. T: This barleywine really strikes a cord. It starts off with a big malt body, thick with grains and dry green grapes and raisins. The flavors are complex and quite deep, showing off some alefruits and a dry medicinal (tylenol-like) finish. Layered on top of the malts are a great deal of bitter, huge hops. They add a citrusy bite that cuts through the thick malts and leave a lasting finish in the back of the mouth. M: Big hops and strong malts, a very dangerous combination. But also very delicious. D: The abv is huge, limiting the number of times that you can go to the well with this one. It's a good, big mouthfeel though and easily one of Green Flash's better offerings.",2
30,4.7,Barons Extra Special Bitter,Extra Special / Strong Bitter (ESB),3.5,3.5,4,4,"Pours a cloudy amber with a finger of lingering head. Not much smell, though a slight spice, clove? Light baking spice on the first sip... good balance of bitter with maltiness. Light flavor of vanilla and apple on the palate. Good mouthfeel, fairly smooth with light carbonation. Overall a decent beer and drinkable. Fairly complex for an ESB.",2
31,4.8,Key West Sunset Ale,American Amber / Red Ale,4,2,3,1.5,"The beer presents nicely enough, with a lovely copper color and appropriate carbonation. The head dissipates rather quickly without much lace. The nose doesn't offer much--a slight hint of citrusy hops, and a tiny suggestion of biscuit and malt. Upon first drinking it, you expect quite a bit more than what is delivered. The extremely thin primary beer taste is a minuscule toastiness and scratch of hops in the finish. However, the primary overall taste might be compared more closely to seltzer water or club soda, with a more beer-like mouthfeel. Weird. It's disappointing when a beer initially looks this nice, and then lets you down. I should also say that I've had this beer on draught at the brewery tap room, and it was considerably better, but still not great. I might be willing to accept that I got a bad 6-pack, and that the bottle version could be better, but even at the source it was marginal. Maybe in the heat of the Florida summer, in the brewery with the pasteurizer running on high, an ice cold, super-light beer like this is just what they're looking for.",0
32,7,Smooth Hoperator,Doppelbock,4,4,3.5,4,"Poured from a 12 oz bottle into a pilsner glass. Pours an amber-red, with a frothy off-white head and plenty of carbonation. Has a hoppy-pin aroma, with loads of sweet malt and hints of citrus. Sweet and fruity start, with a yeasty malty middle and mildly bitter sweet end. Grapes, peaches and apricots are present, with a bit of spice at the finish. Medium-bodied, this is a smooth drinking beer. Fairly drinkable, while it has a hoppy smell, there's not much hop to the taste. Still, a nice tasting beer I'd gladly have again.",2
33,4.5,Maple Nut Brown Ale,American Brown Ale,3,2,2,2,"Bought a six pak of this on a whim. You'd think I'd learn. This beer has a nice deep red color, but I couldn't get any head no matter how I poured it. The aroma was almost candy like. As far as taste, there is a nice nutty taste present, but once again that candy quality that didn't work for me. IMO, more carbonation would liven up the taste and the mouthfeel, which was rather puny. As far as drinkability, don't waste you time on this one.",0
34,8.6,Pumking,Pumpkin Ale,4.5,4,4,4.5,"2009 batch. From the 650 ml. bottle. Sampled on September 29, 2009. There is a handsome, rich orange-amber pour but there is little to no head or retention. The aroma is clearly of pumpkin spices but there is a lot more to it including sweet brown sugar, malts, and maybe even some butternut squash. More creaminess to the mouthfeel but overall it tends to be heavier and appealing. The taste is quite unique. It has this odd mixture of sweet and sour like an Oriental restaurant. There is also a tartiness to the overall experience. This is quite unique and one of a kind. This also has a bit of a punch at 9% ABV. Highly recommended. Maybe another reviewer can get a better handle on what sensations affect the taste buds.",2
35,7.9,Sierra Nevada Belgian Trippel,Tripel,3.5,3,2,2,"A- Very pale and straw colored, and no head at all. S- Smells like a semi fruity malt liquor. Very potent booze smell and very grainy. T- Ehwueh, this is not what I've expected at all. It is not tasty at all to be precise. It truly taste like a malt liquor and tastes nothing like a triple. M- Very little carbination and doesn't feel all that great. D- I wasn't going to pour this out at the bar, but I'm glad I only paid 3 bucks for this, because even then it is not worth it. Personally SN needs to stick to the hoppy beers. This is crap.",0
36,5,Asahi Super Dry,Japanese Rice Lager,3.5,2,3,3,"pours a clear golden color with nice enough fluffy white head. head retention is on the low side leaving a thin lace. medium to large bubbles streaming up through the beer. fairly high carbonation. tough to describe the aroma. pretty light, but similair to most macro lagers. slightly buttery/diacetyl. no noticeable malt/hop presence. taste brings more of the same. very light. again, imagine any macro and thin it out with rice. if that wasnt the whole idea the score wouldnt be nearly as high. mouthfeel is as expected, pretty light. drinkability? well, this isnt quite my cup of tea, uh, beer. probably ok for a rice lager, but i wouldnt be looking for this again.",0
37,4.8,Stoodley Stout,Oatmeal Stout,2,3,2,2.5,"Bottle into Guinness pint glass. Reviewed from notes. A: One finger tan head of poor retention; little cream. Black colour. Looks overcarbonated. Sm: Coffee, alcohol, vanilla, chocolate. Citrus notes are missing from the aroma. T: Chocolate finish. Oats, caramel, vanilla. Poorly balanced and seemingly thrown together. Not bold. Bland flavour. An embarassment to the style. Mf: Lumpy. Too wet and smooth for the style. Dr: Expensive and not particularly good. Avoid.",0
38,4.6,Brahma,American Adjunct Lager,3.5,3,2,1.5,"Nothing to see here, just move along. Sampled while in Chile the last week or so. Went out on a limb for something different, and ended up with Brahma. Much better choices if you happen to actually be in Chile. You have been warned, don't spend any money or time on this drain pour.",0
39,10,Hellshire I,American Barleywine,3.5,3,2,1.5,"Thanks Arbi! Muddy amber pour with minimal head formation. Musty, oxidized nose; very nutty with moderate booziness. Somewhat resiny, light caramel. The aroma isn't bad, but the palate is pretty awful. Thin, sharply boozy, with a ton of harsh oak, sticky resiny hop bitterness and nutty oxidation. Caramel and bourbon flavor are pretty faint. Really a godawful finish, a painful combo of excessive bittering hops and harsh wood tannin. Just a bad beer overall.",0
40,4.74,Pabst Blue Ribbon (PBR),American Adjunct Lager,2.5,3,3.5,3,"Had Bottle at the Map Room Bar in Cleveland Poured into Pint Glass a: light straw color fair amount of caronation. Little Head that reduces very quicly s: smells ok, malt not much hops. One of the better smelling macros t: not as watered down as other macros. Nothing that stands out too much in my mind, just a average solid beer that is better than Bud or MGD. m&d: medium bodied beer with a good amount of carbonation. Easy to drink and a great session beer. A good choice over the other BMC crap.",2
41,4.94,Samuel Adams Boston Ale (Stock Ale),American Pale Ale (APA),4,4,4,4,"A - Aggressive pour produces slightly more than finger-thick off-white frothy foam that looks sticky as it clings to the side of the snifter glass. The hue is Pale Amber (SRM 9) in color and clear. The carbonation levels seem to be of low character, which is to style. A thin film is all that is left after a couple of minutes and swirling the beer does result in some spider webbing, though nothing like that of a resinous IPA. S - Biscuit-sweet malt mixes with esters dried fruit and citrus, though citrus notes are mild. Caramel almost seems to come through as well, which would be due to the carmel malted barley used in brewing this beer. American Pale Ales are supposed to have American varieties of hops, though both the aroma and label states that English/German variants (Spalt, East Kent Goldings, and Fuggles) were used. T - Crisp bitterness washes over the palate. Sweetness comes from the caramel and helps to wet what finishes dry. M - Biscuity-sweet light-bodied liquid that have a numbing effect on the palate from the hops. Warming element towards the end of the bottle, though very much a Session Beer! C - This beer, although classified as an APA is referred to by Samuel Adams as a Stock Ale, something they define as a beer that has been cellared in ""stock cellars."" Therefore, a classification of this beer as an American Stock Ale might be a better assessment of this beer. Also, the ABV is now 5.1%, so still a Session Beer, but getting stronger. I remember being disappointed with this beer when I first tried it a few years ago, as I was looking for IPAs almost exclusively at this time and didn't have the knowledge of different beer styles then. Despite this original take on it, I can honestly say that this ""little"" beer comes with a lot of love and forethought and I'm glad that Jim Koch decided to rescue it and this style from the cellar! Prost!",2
42,5.3,Whitewater Wheat Ale,Hefeweizen,3,1.5,1,1,"Hazy orange/tan color, sizable white head. Smell was immediatley recognizable as off. Burnt plastic smell dominated the nose, but there was a little wheat/malt still recognizable above the funk. Taste was absolutely putrid. Rotten apple cider mixed with melted legos is about the only wasy I could describe it. Just awful after appearance. No freshness date was notched on the bottle, but I assume this was still within it's freshness time frame, or, at least, it should not have ben like this. I had to pour out 2/3 of the bottle.",0
43,5,Yankee Jim Genuine Draft,American Adjunct Lager,2,2,2,2,"This product was purchased at an LCBO store in Ontario, and I notice the brewery is listed as closed, I can certainly understand that after sampling this product. Everything of this brew bespeaks great weakness and lacking any qualities of even an average beer. The body is very thin and light straw coloured with a wispy head. The taste is tinny....not a good expierience.",0
44,4.5,Genesee Beer,American Adjunct Lager,2,1.5,2,1,A pale yellow body is topped by a thin white head with a fairly good amount of lacing on the glass. Slightly sour malt aroma with a touch of sweetness. Watery well balanced flavor with a touch of bitterness and a slightly hoppy finish. Light bodied and smooth.,0
